mes;mes_comparacion;sector;actual_gwh;anterior_gwh;cambio_gwh;interanual_pct;aporte_pp;peso_pct;acumulado_actual_gwh;acumulado_anterior_gwh;acumulado_interanual_pct;meses_acumulados;atribucion_ia;ia_gwh;fecha_descarga;fuente_url;sha256
2026-08-01;2025-08-01;Residencial;6093,065132;5598,129769;494,935363;8,841084;4,223446;49,011032;46747,008008;46030,252918;1,557139;8;No identificable;;2026-09-20;https://apis.datos.gob.ar/series/api/series/?ids=367.3_DEMANDA_TOTAL__13,367.3_DEMANDA_REIAL__19,367.3_COMERCIO_ERIA__20,367.3_GRANDES_USIOS__16&format=json&limit=5000;31d390ba985e387f964c213c854979ac39e1d382ee40d7b8b45fbfb7aa90f04b
2026-08-01;2025-08-01;Comercio e industria;4100,504724;4122,105814;-21,601090;-0,524030;-0,184329;32,983394;33774,116766;34488,125382;-2,070303;8;No identificable;;2026-09-20;https://apis.datos.gob.ar/series/api/series/?ids=367.3_DEMANDA_TOTAL__13,367.3_DEMANDA_REIAL__19,367.3_COMERCIO_ERIA__20,367.3_GRANDES_USIOS__16&format=json&limit=5000;31d390ba985e387f964c213c854979ac39e1d382ee40d7b8b45fbfb7aa90f04b
2026-08-01;2025-08-01;Grandes usuarios;2238,457859;1998,520756;239,937103;12,005735;2,047462;18,005573;17217,188903;15721,267643;9,515271;8;No identificable;;2026-09-20;https://apis.datos.gob.ar/series/api/series/?ids=367.3_DEMANDA_TOTAL__13,367.3_DEMANDA_REIAL__19,367.3_COMERCIO_ERIA__20,367.3_GRANDES_USIOS__16&format=json&limit=5000;31d390ba985e387f964c213c854979ac39e1d382ee40d7b8b45fbfb7aa90f04b
2026-08-01;2025-08-01;Total;12432,027715;11718,756339;713,271376;6,086579;6,086579;100;97738,313677;96239,645943;1,557225;8;No identificable;;2026-09-20;https://apis.datos.gob.ar/series/api/series/?ids=367.3_DEMANDA_TOTAL__13,367.3_DEMANDA_REIAL__19,367.3_COMERCIO_ERIA__20,367.3_GRANDES_USIOS__16&format=json&limit=5000;31d390ba985e387f964c213c854979ac39e1d382ee40d7b8b45fbfb7aa90f04b
