period,total_gwh,residential_gwh,residential_share_percent,residential_index_2015_100,residential_yoy_percent,commerce_industry_gwh,commerce_industry_share_percent,commerce_industry_index_2015_100,commerce_industry_yoy_percent,large_users_gwh,large_users_share_percent,large_users_index_2015_100,large_users_yoy_percent
2025-04-01,9822.825,3991.323,40.633,86.416,-6.153,3917.565,39.882,92.347,-0.432,1913.937,19.485,89.094,5.314
2025-05-01,10944.561,4887.295,44.655,105.815,-19.105,4071.123,37.198,95.967,-3.126,1986.144,18.147,92.455,0.854
2025-06-01,12685.144,6598.754,52.02,142.87,23.445,4157.164,32.772,97.995,4.285,1929.225,15.209,89.806,1.841
2025-07-01,12901.619,6564.071,50.878,142.119,-4.75,4293.969,33.282,101.22,-0.663,2043.579,15.84,95.129,1.556
2025-08-01,11718.756,5598.13,47.771,121.206,-5.132,4122.106,35.175,97.169,-2.815,1998.521,17.054,93.031,-1.508
2025-09-01,10631.541,4674.102,43.964,101.199,8.182,3922.582,36.896,92.466,-0.537,2034.856,19.14,94.723,3.144
2025-10-01,10591.336,4469.049,42.195,96.76,-1.751,4046.72,38.208,95.392,-2.518,2075.567,19.597,96.618,4.883
2025-11-01,10711.334,4656.511,43.473,100.818,-2.917,4027.228,37.598,94.932,-5.332,2027.595,18.929,94.385,0.699
2025-12-01,13077.047,6562.097,50.18,142.076,26.716,4537.297,34.697,106.956,2.16,1977.653,15.123,92.06,5.251
2026-01-01,13145.375,6497.141,49.425,140.67,-5.225,4635.406,35.263,109.269,-4.036,2012.828,15.312,93.697,4.845
2026-02-01,11780.616,5561.498,47.209,120.412,-11.287,4284.903,36.372,101.006,-8.683,1934.216,16.419,90.038,-0.637
2026-03-01,11945.035,5323.151,44.564,115.252,1.081,4382.336,36.688,103.303,-0.481,2239.548,18.749,104.251,12.912
2026-04-01,10579.343,4463.563,42.191,96.641,11.832,3969.723,37.523,93.577,1.331,2146.057,20.285,99.899,12.128
2026-05-01,12151.531,5825.605,47.941,126.131,19.199,4075.78,33.541,96.077,0.114,2250.146,18.517,104.745,13.292
2026-06-01,12641.171,6339.79,50.152,137.263,-3.924,4114.309,32.547,96.985,-1.031,2187.072,17.301,101.809,13.365
2026-07-01,13063.215,6643.194,50.854,143.832,1.205,4211.155,32.237,99.268,-1.929,2208.865,16.909,102.823,8.088
2026-08-01,12432.028,6093.065,49.011,131.921,8.841,4100.505,32.983,96.66,-0.524,2238.458,18.006,104.201,12.006
