period,window,training_observations,intercept,trend_gwh_per_year,month_february,month_march,month_april,month_may,month_june,month_july,month_august,month_september,month_october,month_november,month_december,heating_gwh_per_degree,cooling_gwh_per_degree
2017-04-01,recent_60m,60,7301.803709,226.07538,-1007.726213,-81.118292,-679.716347,-306.293745,-250.110011,188.277742,-189.873824,-781.392402,-270.481729,-314.99306,-121.128924,147.447731,431.586789
2017-05-01,expanding,196,5902.257288,321.730265,-647.806533,271.250403,-346.720933,-53.739529,-49.710731,234.69681,-1.144321,-448.299767,-96.309498,-83.256566,268.858462,112.735636,304.317946
2017-05-01,recent_60m,60,7477.703373,212.079159,-1002.104878,-60.26224,-718.24557,-310.295571,-268.845692,166.94823,-196.607757,-782.232895,-256.404341,-297.747288,-119.833312,152.819422,437.448608
2017-06-01,expanding,197,5905.255802,320.711049,-646.374526,275.869552,-342.078016,-91.637077,-66.049204,215.948196,-13.702189,-453.986219,-92.183764,-78.127495,271.870353,116.540918,305.858492
2017-06-01,recent_60m,60,7554.354758,205.980059,-999.655283,-51.173847,-707.51896,-293.684714,-244.702057,193.92921,-177.436687,-765.481562,-247.662555,-290.232138,-119.268726,149.492155,440.002999
2017-07-01,expanding,198,5906.571789,320.263736,-645.746048,277.896802,-340.181194,-96.281583,-91.21368,203.33044,-22.481765,-458.503893,-90.608891,-75.87645,273.19221,118.909728,306.534607
2017-07-01,recent_60m,60,7623.470263,200.480584,-997.446516,-42.978967,-698.571208,-290.363978,-194.935686,185.147353,-180.326947,-766.001008,-242.160005,-283.45583,-118.759646,151.665478,442.306259
2017-08-01,expanding,199,5907.317221,320.010358,-645.39005,279.045125,-339.181376,-100.015106,-99.324654,185.635475,-29.186288,-462.134102,-89.84175,-74.60136,273.940968,120.621703,306.917587
2017-08-01,recent_60m,60,7720.094986,192.792218,-994.35862,-31.522378,-688.881337,-344.925702,-305.869227,118.532165,-262.903731,-827.542375,-243.730578,-273.98243,-118.047944,174.841297,445.526257
2017-09-01,expanding,200,5909.365718,319.31406,-644.411745,282.200793,-336.551391,-112.012563,-124.850289,156.811285,-73.845666,-473.798059,-87.930455,-71.097329,275.998604,125.909615,307.970044
2017-09-01,recent_60m,60,7739.093207,191.280542,-993.751482,-29.269799,-686.592567,-347.59877,-312.886328,111.095915,-266.947839,-831.368593,-242.77911,-272.119783,-117.90801,176.658372,446.159369
2017-10-01,expanding,201,5912.749153,318.164007,-642.795911,287.412906,-331.125068,-115.83336,-137.218849,142.403091,-82.721289,-516.397968,-82.961366,-65.309834,279.397134,129.273808,309.708352
2017-10-01,recent_60m,60,7837.012327,183.489183,-990.62222,-17.659736,-673.289023,-329.730232,-290.928276,134.122787,-246.208472,-789.559096,-232.923736,-262.519475,-117.186774,175.259903,449.422503
2017-11-01,expanding,202,5917.444005,316.568194,-640.55378,294.645228,-322.985959,-112.128113,-137.605619,141.105486,-81.228429,-511.944204,-129.021411,-57.279113,284.11293,130.918229,312.120426
2017-11-01,recent_60m,60,7981.028809,172.029886,-986.019796,-0.584006,-654.390185,-317.469583,-284.383793,140.808663,-232.872807,-773.532918,-268.786356,-248.399633,-116.126002,177.971735,454.221822
2017-12-01,expanding,203,5911.622856,315.084839,-635.808245,310.158323,-304.823069,-92.407949,-116.435496,162.726906,-60.317654,-491.797579,-110.05693,-88.556244,293.607965,130.401999,317.406176
2017-12-01,recent_60m,60,8018.812886,169.561804,-986.532106,-3.157956,-656.951202,-318.767223,-284.546491,140.964963,-233.304111,-774.000309,-269.992451,-320.400464,-116.728455,177.593984,453.277107
2018-01-01,expanding,204,5932.511995,314.582375,-640.174402,295.682671,-321.531624,-108.589001,-132.125396,147.189876,-76.095404,-507.834173,-126.493959,-103.880104,264.272429,130.227134,312.365039
2018-01-01,recent_60m,60,8113.433684,164.557282,-991.572284,-25.014424,-680.150336,-339.404611,-302.882562,123.275725,-252.184832,-792.954205,-290.444216,-340.787529,-62.503384,176.828019,446.096552
2018-02-01,expanding,205,5929.933598,314.260175,-630.321588,301.758062,-316.272473,-102.991594,-126.213043,153.200255,-70.239384,-502.144134,-121.060694,-98.033317,272.987741,130.115004,310.475849
2018-02-01,recent_60m,60,8381.634178,150.413246,-1011.63673,-88.057383,-746.495246,-398.509386,-355.483236,72.503163,-306.324824,-847.301004,-349.024369,-399.184825,-63.789579,174.66321,427.697726
2018-03-01,expanding,206,5940.545307,313.872354,-646.488163,295.302891,-323.657457,-109.969432,-132.811792,146.719497,-76.905938,-509.010475,-128.236103,-104.736676,269.564247,129.980037,308.31683
2018-03-01,recent_60m,60,8480.826076,146.096625,-948.815927,-123.623373,-784.0828,-433.887321,-388.876183,39.668138,-340.187555,-881.226852,-384.242195,-434.346844,-69.667723,174.002531,418.1832
2018-04-01,expanding,207,5941.275648,312.998036,-644.683043,273.468121,-317.113333,-102.50742,-124.495146,155.302147,-68.742157,-501.297098,-121.219506,-98.185976,273.212784,129.675761,310.294671
2018-04-01,recent_60m,60,8587.951368,140.40242,-952.779817,-23.675991,-809.943648,-456.833384,-409.203779,20.076517,-361.134861,-902.257416,-406.977053,-457.008086,-73.620991,173.131007,412.185353
2018-05-01,expanding,208,5946.482392,312.068646,-643.909454,275.954436,-345.451522,-101.335695,-124.424579,155.158979,-68.066544,-499.75516,-118.439807,-95.360783,274.91986,130.134489,311.089503
2018-05-01,recent_60m,60,8593.873824,139.692165,-951.753443,-19.270627,-716.210896,-446.275593,-393.315437,36.666896,-348.985238,-891.420017,-401.437543,-452.395091,-72.922114,170.988176,413.492361
